阿伦方差,a'lun'fang'cha
同轴磁控管,tong'zhou'ci'kong'guan
同轴电缆,tong'zhou'dian'lan
同轴继电器,tong'zhou'ji'dian'qi
同轴全息术,tong'zhou'quan'xi'shu
同轴天线,tong'zhou'tian'xian
同轴线,tong'zhou'xian
投放器,tou'fang'qi
透红外晶体,tou'hong'wai'jing'ti
透红外陶瓷,tou'hong'wai'tao'ci
透镜天线,tou'jing'tian'xian
头盔显示,tou'kui'xian'shi
透明版,tou'ming'ban
透明度,tou'ming'du
透明陶瓷,tou'ming'tao'ci
透明铁电陶瓷,tou'ming'tie'dian'tao'ci
透射高能电子衍射,tou'she'gao'neng'dian'zi'yan'she
透水深度,tou'shui'shen'du
投影电视,tou'ying'dian'shi
投影管,tou'ying'guan
投影光刻机,tou'ying'guang'ke'ji
投影射程,tou'ying'she'cheng
突变光纤,tu'bian'guang'xian
突变结,tu'bian'jie
突发差错,tu'fa'cha'cuo
突发长度,tu'fa'chang'du
涂胶,tu'jiao
图文电视,tu'wen'dian'shi
图文电视广播,tu'wen'dian'shi'guang'bo
图文法,tu'wen'fa
图象变换,tu'xiang'bian'huan
图象编码,tu'xiang'bian'ma
图像编码,tu'xiang'bian'ma
图象重建,tu'xiang'chong'jian
图象处理,tu'xiang'chu'li
图象分割,tu'xiang'fen'ge
图象恢复,tu'xiang'hui'fu
图象畸变,tu'xiang'ji'bian
图象平滑,tu'xiang'ping'hua
图象平均,tu'xiang'ping'jun
图象锐化,tu'xiang'rui'hua
图象通道,tu'xiang'tong'dao
图象退化,tu'xiang'tui'hua
图象显示,tu'xiang'xian'shi
图象形成,tu'xiang'xing'cheng
图象旋转,tu'xiang'xuan'zhuan
图象压缩,tu'xiang'ya'suo
图象抑制混频器,tu'xiang'yi'zhi'hun'pin'qi
图象运动补偿,tu'xiang'yun'dong'bu'chang
图象增强,tu'xiang'zeng'qiang
图形发生器,tu'xing'fa'sheng'qi
图形畸变,tu'xing'ji'bian
图形显示,tu'xing'xian'shi
退磁器,tui'ci'qi
退磁曲线,tui'ci'qu'xian
退火,tui'huo
退极化,tui'ji'hua
退卷积,tui'juan'ji
退缩性溶解度,tui'suo'xing'rong'jie'du
推挽功率放大器,tui'wan'gong'lv'fang'da'qi
吞吐量,tun'tu'liang
脱附,tuo'fu
脱机,tuo'ji
椭偏仪法,tuo'pian'yi'fa
椭圆波导,tuo'yuan'bo'dao
椭圆极化,tuo'yuan'ji'hua
外标准,wai'biao'zhun
外部接口,wai'bu'jie'kou
外部数据表示,wai'bu'shu'ju'biao'shi
外差检测,wai'cha'jian'ce
外差接收机,wai'cha'jie'shou'ji
外差振荡器,wai'cha'zhen'dang'qi
外光电效应,wai'guang'dian'xiao'ying
外扩散,wai'kuo'san
外量子效率,wai'liang'zi'xiao'lv
外围部件互连,wai'wei'bu'jian'hu'lian
外延,wai'yan
外延堆垛层错,wai'yan'dui'duo'ceng'cuo
外延隔离,wai'yan'ge'li
外延缺陷,wai'yan'que'xian
外引线焊接,wai'yin'xian'han'jie
完备电信业务,wan'bei'dian'xin'ye'wu
完美晶体,wan'mei'jing'ti
完全位错,wan'quan'wei'cuo
弯月面,wan'yue'mian
往复真空泵,wang'fu'zhen'kong'beng
网格栅,wang'ge'shan
网关,wang'guan
网路,wang'lu
网络层,wang'luo'ceng
网络电视,wang'luo'dian'shi
网络分析仪,wang'luo'fen'xi'yi
网络管理终端,wang'luo'guan'li'zhong'duan
网络函数,wang'luo'han'shu
网络计算机,wang'luo'ji'suan'ji
网络节点接口,wang'luo'jie'dian'jie'kou
网络接口,wang'luo'jie'kou
网络接口模块,wang'luo'jie'kou'mo'kuai
网络群信息表,wang'luo'qun'xin'xi'biao
网络数据库,wang'luo'shu'ju'ku
网络一网络接口,wang'luo'yi'wang'luo'jie'kou
网络运营者,wang'luo'yun'ying'zhe
网络终端,wang'luo'zhong'duan
网络终接设备,wang'luo'zhong'jie'she'bei
网络综合,wang'luo'zong'he
网桥,wang'qiao
网文法,wang'wen'fa
网纹干扰,wang'wen'gan'rao
网状网,wang'zhuang'wang
网状阴极,wang'zhuang'yin'ji
微波,wei'bo
微波传输,wei'bo'chuan'shu
微波磁学,wei'bo'ci'xue
微波单片集成电路,wei'bo'dan'pian'ji'cheng'dian'lu
微波电子学,wei'bo'dian'zi'xue
微波多点分配系统,wei'bo'duo'dian'fen'pei'xi'tong
微波辐射计,wei'bo'fu'she'ji
微波管,wei'bo'guan
微波航道信标,wei'bo'hang'dao'xin'biao
微波混合集成电路,wei'bo'hun'he'ji'cheng'dian'lu
微波集成电路,wei'bo'ji'cheng'dian'lu
微波接力通信,wei'bo'jie'li'tong'xin
微波全息雷达,wei'bo'quan'xi'lei'da
微波热象图成象,wei'bo're'xiang'tu'cheng'xiang
微波散射计,wei'bo'san'she'ji
微波铁氧体,wei'bo'tie'yang'ti
微波通信,wei'bo'tong'xin
微波统一载波系统,wei'bo'tong'yi'zai'bo'xi'tong
微波网络,wei'bo'wang'luo
韦伯效应,wei'bo'xiao'ying
微波有源频谱仪,wei'bo'you'yuan'pin'pu'yi
微波站,wei'bo'zhan
微波中继通信,wei'bo'zhong'ji'tong'xin
微波着陆系统,wei'bo'zhuo'lu'xi'tong
伪彩色,wei'cai'se
围产期监护仪,wei'chan'qi'jian'hu'yi
维持,wei'chi
维持真空泵,wei'chi'zhen'kong'beng
微处理器,wei'chu'li'qi
位错,wei'cuo
位错环,wei'cuo'huan
位错密度,wei'cuo'mi'du
微带,wei'dai
微带偶极子,wei'dai'ou'ji'zi
微带天线,wei'dai'tian'xian
微带阵,wei'dai'zhen
卫导,wei'dao
微电机,wei'dian'ji
胃电描记术,wei'dian'miao'ji'shu
微电子学,wei'dian'zi'xue
微动开关,wei'dong'kai'guan
微分电路,wei'fen'dian'lu
微分迁移率,wei'fen'qian'yi'lv
微分相位,wei'fen'xiang'wei
微分增益,wei'fen'zeng'yi
微封装,wei'feng'zhuang
微功耗集成电路,wei'gong'hao'ji'cheng'dian'lu
微光电视,wei'guang'dian'shi
微光夜视仪,wei'guang'ye'shi'yi
维护,wei'hu
维护时间,wei'hu'shi'jian
微坑,wei'keng
维纳滤波器,wei'na'lv'bo'qi
微缺陷,wei'que'xian
微扫接收机,wei'sao'jie'shou'ji
微生物敏感器,wei'sheng'wu'min'gan'qi
伪随机码测距,wei'sui'ji'ma'ce'ju
伪随机序列,wei'sui'ji'xu'lie
微调电感器,wei'tiao'dian'gan'qi
微调电容器,wei'tiao'dian'rong'qi
微调电位器,wei'tiao'dian'wei'qi
微调阀,wei'tiao'fa
位同步,wei'tong'bu
微通道板,wei'tong'dao'ban
微通道板示波管,wei'tong'dao'ban'shi'bo'guan
微通道板探测器,wei'tong'dao'ban'tan'ce'qi
位线,wei'xian
威胁等级,wei'xie'deng'ji
卫星传输系统,wei'xing'chuan'shu'xi'tong
卫星导航,wei'xing'dao'hang
卫星定位与跟踪,wei'xing'ding'wei'yu'gen'zong
卫星覆盖区,wei'xing'fu'gai'qu
卫星跟踪站,wei'xing'gen'zong'zhan
卫星跟踪中心,wei'xing'gen'zong'zhong'xin
卫星广播,wei'xing'guang'bo
卫星监视雷达,wei'xing'jian'shi'lei'da
卫星通信,wei'xing'tong'xin
卫星新闻采集系统,wei'xing'xin'wen'cai'ji'xi'tong
维修,wei'xiu
维修性,wei'xiu'xing
位移传感器,wei'yi'chuan'gan'qi
位移电流,wei'yi'dian'liu
伪噪声码,wei'zao'sheng'ma
位置报告系统,wei'zhi'bao'gao'xi'tong
位置传感器,wei'zhi'chuan'gan'qi
位置灵敏探测器,wei'zhi'ling'min'tan'ce'qi
位置线,wei'zhi'xian
危重病人监护系统,wei'zhong'bing'ren'jian'hu'xi'tong
伪装码,wei'zhuang'ma
微组装,wei'zu'zhuang
纹波电流,wen'bo'dian'liu
纹波电压,wen'bo'dian'ya
温差电效应,wen'cha'dian'xiao'ying
温差电致冷器,wen'cha'dian'zhi'leng'qi
温差发电器,wen'cha'fa'dian'qi
温差热偶真空规,wen'cha're'ou'zhen'kong'gui
稳定,wen'ding
稳定电源,wen'ding'dian'yuan
稳定谐振腔,wen'ding'xie'zhen'qiang
温度,wen'du
温度补偿电容器,wen'du'bu'chang'dian'rong'qi
温度敏感器,wen'du'min'gan'qi
温度湿度红外辐射计,wen'du'shi'du'hong'wai'fu'she'ji
温度系数,wen'du'xi'shu
温度循环试验,wen'du'xun'huan'shi'yan
文法推断,wen'fa'tui'duan
纹理分析,wen'li'fen'xi
稳频管,wen'pin'guan
稳谱器,wen'pu'qi
稳压变压器,wen'ya'bian'ya'qi
稳压二极管,wen'ya'er'ji'guan
沃尔斯康系统,wo'er'si'kang'xi'tong
涡流,wo'liu
涡轮分子泵,wo'lun'fen'zi'beng
误比特率,wu'bi'te'lv
误差,wu'cha
误差场,wu'cha'chang
无差错信道,wu'cha'cuo'xin'dao
误差几何放大因子,wu'cha'ji'he'fang'da'yin'zi
误差椭圆,wu'cha'tuo'yuan
误差显示器,wu'cha'xian'shi'qi
误差圆半径,wu'cha'yuan'ban'jing
无逗点码,wu'dou'dian'ma
无放回抽样,wu'fang'hui'chou'yang
无方向性信标,wu'fang'xiang'xing'xin'biao
误符,wu'fu
无辐射复合,wu'fu'she'fu'he
无惯性扫描,wu'guan'xing'sao'miao
无耗网络,wu'hao'wang'luo
无机光刻胶,wu'ji'guang'ke'jiao
无级网,wu'ji'wang
无极性接触件,wu'ji'xing'jie'chu'jian
无极性连接器,wu'ji'xing'lian'jie'qi
无记忆信源,wu'ji'yi'xin'yuan
误句概率,wu'ju'gai'lv
乌兰韦伯天线,wu'lan'wei'bo'tian'xian
戊类放大器,wu'lei'fang'da'qi
物理层,wu'li'ceng
物理电源,wu'li'dian'yuan
物理电子学,wu'li'dian'zi'xue
物理敏感器,wu'li'min'gan'qi
物理汽相淀积,wu'li'qi'xiang'dian'ji
误码率,wu'ma'lv
误判失效,wu'pan'shi'xiao
无人增音站,wu'ren'zeng'yin'zhan
无人值守,wu'ren'zhi'shou
无绳电话,wu'sheng'dian'hua
无损编码,wu'sun'bian'ma
物体波,wu'ti'bo
无位错晶体,wu'wei'cuo'jing'ti
无限冲激响应,wu'xian'chong'ji'xiang'ying
无险触发器,wu'xian'chu'fa'qi
无线传声器,wu'xian'chuan'sheng'qi
无线电磁指示器,wu'xian'dian'ci'zhi'shi'qi
无线电电子学,wu'xian'dian'dian'zi'xue
无线电浮标,wu'xian'dian'fu'biao
无线电干涉仪,wu'xian'dian'gan'she'yi
无线电技术,wu'xian'dian'ji'shu
无线电罗盘,wu'xian'dian'luo'pan
无线电信标,wu'xian'dian'xin'biao
无线电寻呼,wu'xian'dian'xun'hu
无线电遥测,wu'xian'dian'yao'ce
无线广播数据系统,wu'xian'guang'bo'shu'ju'xi'tong
无线接入,wu'xian'jie'ru
无线接入单元,wu'xian'jie'ru'dan'yuan
无线局域网,wu'xian'ju'yu'wang
无线通信,wu'xian'tong'xin
误用失效,wu'yong'shi'xiao
无油真空,wu'you'zhen'kong
无油真空系统,wu'you'zhen'kong'xi'tong
无源干扰,wu'yuan'gan'rao
无源跟踪,wu'yuan'gen'zong
无源探测,wu'yuan'tan'ce
无源网络,wu'yuan'wang'luo
无源谐振腔,wu'yuan'xie'zhen'qiang
无源元件,wu'yuan'yuan'jian
无源制导,wu'yuan'zhi'dao
无噪编码定理,wu'zao'bian'ma'ding'li
无噪信道,wu'zao'xin'dao
误字概率,wu'zi'gai'lv
无阻塞交换,wu'zu'sai'jiao'huan
吸除,xi'chu
希尔伯特变换,xi'er'bo'te'bian'huan
吸附,xi'fu
吸附泵,xi'fu'beng
吸附阱,xi'fu'jing
熄火,xi'huo
吸气剂泵,xi'qi'ji'beng
吸气剂离子泵,xi'qi'ji'li'zi'beng
吸收,xi'shou
系统,xi'tong
系统电压表,xi'tong'dian'ya'biao
系统误差,xi'tong'wu'cha
稀土半导体,xi'tu'ban'dao'ti
稀土磁体,xi'tu'ci'ti
稀土钴永磁体,xi'tu'gu'yong'ci'ti
吸杂,xi'za
下边带,xia'bian'dai
下变频,xia'bian'pin
匣钵,xia'bo
下冲,xia'chong
下滑信标,xia'hua'xin'biao
下降时间,xia'jiang'shi'jian
下限类别温度,xia'xian'lei'bie'wen'du
下行链路,xia'xing'lian'lu
下行线路,xia'xing'xian'lu
下阈,xia'yu
限边馈膜生长,xian'bian'kui'mo'sheng'zhang
现场试验,xian'chang'shi'yan
线对,xian'dui
限幅,xian'fu
限幅放大器,xian'fu'fang'da'qi
限幅器,xian'fu'qi
线极化,xian'ji'hua
线间变压器,xian'jian'bian'ya'qi
线宽,xian'kuan
线扩展函数,xian'kuo'zhan'han'shu
限累模式,xian'lei'mo'shi
线缺陷,xian'que'xian
线栅透镜天线,xian'shan'tou'jing'tian'xian
显示板,xian'shi'ban
显示屏,xian'shi'ping
显示器件,xian'shi'qi'jian
线天线,xian'tian'xian
显象管,xian'xiang'guan
纤芯,xian'xin
线性缓变结,xian'xing'huan'bian'jie
线性集成电路,xian'xing'ji'cheng'dian'lu
线性检波,xian'xing'jian'bo
线性率表,xian'xing'lv'biao
线性码,xian'xing'ma
线性失真,xian'xing'shi'zhen
线性泰勒分布,xian'xing'tai'le'fen'bu
线性调频,xian'xing'tiao'pin
线性调制,xian'xing'tiao'zhi
线性网络,xian'xing'wang'luo
线性相位滤波器,xian'xing'xiang'wei'lv'bo'qi
线性旋转变压器,xian'xing'xuan'zhuan'bian'ya'qi
线性预测,xian'xing'yu'ce
显影,xian'ying
线源,xian'yuan
显著性结果,xian'zhu'xing'jie'guo
显著性水平,xian'zhu'xing'shui'ping
线状网,xian'zhuang'wang
象差,xiang'cha
相对高度,xiang'dui'gao'du
相对论磁控管,xiang'dui'lun'ci'kong'guan
相对论群聚,xiang'dui'lun'qun'ju
相对真空计,xiang'dui'zhen'kong'ji
箱法扩散,xiang'fa'kuo'san
相干光通信,xiang'gan'guang'tong'xin
相干检波器,xiang'gan'jian'bo'qi
相干检测,xiang'gan'jian'ce
相干脉冲雷达,xiang'gan'mai'chong'lei'da
相干探测,xiang'gan'tan'ce
相干应答器,xiang'gan'ying'da'qi
相关检测器,xiang'guan'jian'ce'qi
相关接收机,xiang'guan'jie'shou'ji
相控阵,xiang'kong'zhen
相控阵雷达,xiang'kong'zhen'lei'da
巷宽,xiang'kuan
向列相液晶,xiang'lie'xiang'ye'jing
相敏放大器,xiang'min'fang'da'qi
香农理论,xiang'nong'li'lun
香农熵,xiang'nong'shang
相频特性,xiang'pin'te'xing
相容性,xiang'rong'xing
象散,xiang'san
相扫雷达,xiang'sao'lei'da
相时延,xiang'shi'yan
象素,xiang'su
相速,xiang'su
相位,xiang'wei
相位比较器,xiang'wei'bi'jiao'qi
相位编码,xiang'wei'bian'ma
相位超前网络,xiang'wei'chao'qian'wang'luo
相位抖动,xiang'wei'dou'dong
相位共轭,xiang'wei'gong'e
相位计,xiang'wei'ji
相位基准电压,xiang'wei'ji'zhun'dian'ya
相位阶跃,xiang'wei'jie'yue
相位均衡器,xiang'wei'jun'heng'qi
相位匹配角,xiang'wei'pi'pei'jiao
相位谱估计,xiang'wei'pu'gu'ji
相位群聚,xiang'wei'qun'ju
相位调制,xiang'wei'tiao'zhi
相位裕量,xiang'wei'yu'liang
相位噪声,xiang'wei'zao'sheng
相位滞后网络,xiang'wei'zhi'hou'wang'luo
相移,xiang'yi
相移常数,xiang'yi'chang'shu
相移键控,xiang'yi'jian'kong
相移鉴频器,xiang'yi'jian'pin'qi
相移网络,xiang'yi'wang'luo
响应函数,xiang'ying'han'shu
响应式干扰,xiang'ying'shi'gan'rao
响应时间,xiang'ying'shi'jian
象增强器,xiang'zeng'qiang'qi
消磁,xiao'ci
消磁器,xiao'ci'qi
小岛效应,xiao'dao'xiao'ying
消电离,xiao'dian'li
消光比,xiao'guang'bi
小规模集成电路,xiao'gui'mo'ji'cheng'dian'lu
效率,xiao'lv
小平面,xiao'ping'mian
小区网络,xiao'qu'wang'luo
小扰动理论,xiao'rao'dong'li'lun
消声室,xiao'sheng'shi
消失模,xiao'shi'mo
肖特基集成注入逻辑,xiao'te'ji'ji'cheng'zhu'ru'luo'ji
肖特基势垒,xiao'te'ji'shi'lei
肖特基势垒二极管,xiao'te'ji'shi'lei'er'ji'guan
肖特基太阳电池,xiao'te'ji'tai'yang'dian'chi
消息,xiao'xi
消息处理系统,xiao'xi'chu'li'xi'tong
小信号分析,xiao'xin'hao'fen'xi
小信号增益,xiao'xin'hao'zeng'yi
消旋天线,xiao'xuan'tian'xian
效应振荡器,xiao'ying'zhen'dang'qi
谐波,xie'bo
谐波分析,xie'bo'fen'xi
楔焊,xie'han
斜率鉴频器,xie'lv'jian'pin'qi
斜率效率,xie'lv'xiao'lv
写入,xie'ru
写入缓存器,xie'ru'huan'cun'qi
斜视,xie'shi
协调位置,xie'tiao'wei'zhi
协议,xie'yi
协议分析仪,xie'yi'fen'xi'yi
谐振,xie'zhen
谐振腔,xie'zhen'qiang
信标跟踪,xin'biao'gen'zong
心磁描记术,xin'ci'miao'ji'shu
信道,xin'dao
信道化接收机,xin'dao'hua'jie'shou'ji
信道容量,xin'dao'rong'liang
心电监护仪,xin'dian'jian'hu'yi
心电描记术,xin'dian'miao'ji'shu
心电向量描记术,xin'dian'xiang'liang'miao'ji'shu
信干比,xin'gan'bi
心功能仪,xin'gong'neng'yi
信关,xin'guan
信号,xin'hao
信号处理,xin'hao'chu'li
信号发生器,xin'hao'fa'sheng'qi
信号分类,xin'hao'fen'lei
信号分析仪,xin'hao'fen'xi'yi
信号干扰比,xin'hao'gan'rao'bi
信号格式,xin'hao'ge'shi
信号环境密度,xin'hao'huan'jing'mi'du
信号交换,xin'hao'jiao'huan
信号流图,xin'hao'liu'tu
信号杂波比,xin'hao'za'bo'bi
心尖心动描记术,xin'jian'xin'dong'miao'ji'shu
信令,xin'ling
芯片尺寸,xin'pian'chi'cun
新生儿监护仪,xin'sheng'er'jian'hu'yi
信宿,xin'su
新闻编辑系统,xin'wen'bian'ji'xi'tong
信息,xin'xi
信息处理,xin'xi'chu'li
信息处理中心,xin'xi'chu'li'zhong'xin
信息存取,xin'xi'cun'qu
信息单元,xin'xi'dan'yuan
信息分发系统,xin'xi'fen'fa'xi'tong
信息高速公路,xin'xi'gao'su'gong'lu
信息技术,xin'xi'ji'shu
信息科学,xin'xi'ke'xue
信息量,xin'xi'liang
信息论,xin'xi'lun
信息码,xin'xi'ma
信息容量,xin'xi'rong'liang
信息守恒,xin'xi'shou'heng
信息提取,xin'xi'ti'qu
信息网,xin'xi'wang
信息网络系统,xin'xi'wang'luo'xi'tong
信息系统,xin'xi'xi'tong
信息显示,xin'xi'xian'shi
心形传声器,xin'xing'chuan'sheng'qi
心音图仪,xin'yin'tu'yi
锌银蓄电池,xin'yin'xu'dian'chi
信源编码,xin'yuan'bian'ma
信杂比,xin'za'bi
心脏除颤器,xin'zang'chu'chan'qi
心脏起搏器,xin'zang'qi'bo'qi
信噪比,xin'zao'bi
芯柱,xin'zhu
型半导体,xing'ban'dao'ti
行波,xing'bo
行波管,xing'bo'guan
行波速调管,xing'bo'su'diao'guan
形槽隔离,xing'cao'ge'li
型超声扫描,xing'chao'sheng'sao'miao
星基导航,xing'ji'dao'hang
星际激光通信,xing'ji'ji'guang'tong'xin
星历,xing'li
型滤波器,xing'lv'bo'qi
性能特性,xing'neng'te'xing
型器件,xing'qi'jian
星上交换,xing'shang'jiao'huan
形式语言,xing'shi'yu'yan
星下点,xing'xia'dian
星下点轨迹,xing'xia'dian'gui'ji
星载雷达,xing'zai'lei'da
星状网,xing'zhuang'wang
修复率,xiu'fu'lv
修复时间,xiu'fu'shi'jian
修复性维修,xiu'fu'xing'wei'xiu
修理实施时间,xiu'li'shi'shi'shi'jian
修理准备时间,xiu'li'zhun'bei'shi'jian
修整,xiu'zheng
修正,xiu'zheng
蓄电池,xu'dian'chi
虚电路,xu'dian'lu
序贯检测器,xu'guan'jian'ce'qi
序贯取样,xu'guan'qu'yang
序贯译码,xu'guan'yi'ma
虚警概率,xu'jing'gai'lv
虚警时间,xu'jing'shi'jian
序列,xu'lie
序列分割调制遥测,xu'lie'fen'ge'tiao'zhi'yao'ce
虚漏,xu'lou
虚拟编辑设备,xu'ni'bian'ji'she'bei
虚拟现实,xu'ni'xian'shi
虚拟演播室系统,xu'ni'yan'bo'shi'xi'tong
虚拟装置,xu'ni'zhuang'zhi
需求时间,xu'qiu'shi'jian
旭日式谐振腔系统,xu'ri'shi'xie'zhen'qiang'xi'tong
虚设单元,xu'she'dan'yuan
虚同步,xu'tong'bu
虚阴极,xu'yin'ji
虚指令,xu'zhi'ling
旋磁比,xuan'ci'bi
旋磁滤波器,xuan'ci'lv'bo'qi
旋磁媒质,xuan'ci'mei'zhi
旋磁器件,xuan'ci'qi'jian
旋磁限幅器,xuan'ci'xian'fu'qi
旋磁效应,xuan'ci'xiao'ying
旋磁振荡器,xuan'ci'zhen'dang'qi
旋电媒质,xuan'dian'mei'zhi
悬浮区熔法,xuan'fu'qu'rong'fa
悬浮区熔硅,xuan'fu'qu'rong'gui
选粒,xuan'li
选模技术,xuan'mo'ji'shu
旋片真空泵,xuan'pian'zhen'kong'beng
选频电平表,xuan'pin'dian'ping'biao
选频放大器,xuan'pin'fang'da'qi
选通标志,xuan'tong'biao'zhi
选通脉冲,xuan'tong'mai'chong
漩涡缺陷,xuan'wo'que'xian
选择掺杂,xuan'ze'chan'za
选择扩散,xuan'ze'kuo'san
选择外延,xuan'ze'wai'yan
选择性,xuan'ze'xing
选择氧化,xuan'ze'yang'hua
旋转变压器,xuan'zhuan'bian'ya'qi
旋转关节,xuan'zhuan'guan'jie
旋转活塞真空泵,xuan'zhuan'huo'sai'zhen'kong'beng
旋转开关,xuan'zhuan'kai'guan
旋转调谐磁控管,xuan'zhuan'tiao'xie'ci'kong'guan
旋转制交换机,xuan'zhuan'zhi'jiao'huan'ji
雪崩击穿,xue'beng'ji'chuan
削波,xue'bo
削波器,xue'bo'qi
寻峰,xun'feng
循环乘积码,xun'huan'cheng'ji'ma
循环卷积,xun'huan'juan'ji
循环码,xun'huan'ma
循环冗余码,xun'huan'rong'yu'ma
循环寿命,xun'huan'shou'ming
循环图,xun'huan'tu
循迹误差,xun'ji'wu'cha
询问模式,xun'wen'mo'shi
询问器,xun'wen'qi
循纹失真,xun'wen'shi'zhen
寻象管,xun'xiang'guan
寻象器,xun'xiang'qi
压差式真空计,ya'cha'shi'zhen'kong'ji
压磁材料,ya'ci'cai'liao
压磁效应,ya'ci'xiao'ying
压电常量,ya'dian'chang'liang
压电传声器,ya'dian'chuan'sheng'qi
压电加速度计,ya'dian'jia'su'du'ji
压电晶体,ya'dian'jing'ti
压电流量计,ya'dian'liu'liang'ji
压电式敏感器,ya'dian'shi'min'gan'qi
压电陶瓷,ya'dian'tao'ci
压电陶瓷延迟线,ya'dian'tao'ci'yan'chi'xian
压电陀螺,ya'dian'tuo'luo
压电效应,ya'dian'xiao'ying
压电压力敏感器,ya'dian'ya'li'min'gan'qi
压电音叉,ya'dian'yin'cha
压电振子,ya'dian'zhen'zi
亚毫米波,ya'hao'mi'bo
压接接触件,ya'jie'jie'chu'jian
压控放大器,ya'kong'fang'da'qi
压控振荡器,ya'kong'zhen'dang'qi
压扩,ya'kuo
压力敏感器,ya'li'min'gan'qi
氩离子激光器,ya'li'zi'ji'guang'qi
压滤,ya'lv
轧膜,ya'mo
压缩比,ya'suo'bi
压缩式真空计,ya'suo'shi'zhen'kong'ji
压缩态,ya'suo'tai
亚铁磁性,ya'tie'ci'xing
压制性干扰,ya'zhi'xing'gan'rao
掩蔽扩散,yan'bi'kuo'san
演播室,yan'bo'shi
延长码,yan'chang'ma
衍衬象,yan'chen'xiang
延迟锁定技术,yan'chi'suo'ding'ji'shu
延迟线,yan'chi'xian
眼磁描记术,yan'ci'miao'ji'shu
眼电描记术,yan'dian'miao'ji'shu
沿面排列,yan'mian'pai'lie
掩模,yan'mo
掩模对准,yan'mo'dui'zhun
焰熔法,yan'rong'fa
衍射损耗,yan'she'sun'hao
延伸线,yan'shen'xian
延时遥测,yan'shi'yao'ce
延时指令,yan'shi'zhi'ling
验收试验,yan'shou'shi'yan
眼图,yan'tu
盐雾试验,yan'wu'shi'yan
眼震电描记术,yan'zhen'dian'miao'ji'shu
验证,yan'zheng
样本,yang'ben
氧化层陷阱电荷,yang'hua'ceng'xian'jing'dian'he
氧化感生堆垛层错,yang'hua'gan'sheng'dui'duo'ceng'cuo
氧化感生缺陷,yang'hua'gan'sheng'que'xian
氧化还原电池,yang'hua'huan'yuan'dian'chi
氧化铝,yang'hua'lv
氧化铝瓷,yang'hua'lv'ci
氧化铍瓷,yang'hua'pi'ci
氧化去胶,yang'hua'qu'jiao
氧化物,yang'hua'wu
氧化物半导体,yang'hua'wu'ban'dao'ti
氧化物阴极,yang'hua'wu'yin'ji
氧化掩模,yang'hua'yan'mo
氧化铟锡,yang'hua'yin'xi
氧化增强扩散,yang'hua'zeng'qiang'kuo'san
阳极,yang'ji
阳极氧化法,yang'ji'yang'hua'fa
仰角显示器,yang'jiao'xian'shi'qi
仰角引导单元,yang'jiao'yin'dao'dan'yuan
阳接触件,yang'jie'chu'jian
样品,yang'pin
扬声器,yang'sheng'qi
遥测,yao'ce
遥感,yao'gan
遥控,yao'kong
遥控动力学,yao'kong'dong'li'xue
遥控机械手,yao'kong'ji'xie'shou
遥控视频监视,yao'kong'shi'pin'jian'shi
遥控运载器,yao'kong'yun'zai'qi
遥控站,yao'kong'zhan
遥控指令,yao'kong'zhi'ling
遥调,yao'tiao
页分段模式,ye'fen'duan'mo'shi
液封技术,ye'feng'ji'shu
液封丘克拉斯基法,ye'feng'qiu'ke'la'si'ji'fa
液封真空泵,ye'feng'zhen'kong'beng
液封直拉法,ye'feng'zhi'la'fa
液环真空泵,ye'huan'zhen'kong'beng
冶金级硅,ye'jin'ji'gui
液晶光阀,ye'jing'guang'fa
液晶显示,ye'jing'xian'shi
液晶显示器,ye'jing'xian'shi'qi
页模式,ye'mo'shi
液态源扩散,ye'tai'yuan'kuo'san
液体激光器,ye'ti'ji'guang'qi
液位压力计,ye'wei'ya'li'ji
业务,ye'wu
液相外延,ye'xiang'wai'yan
仪表飞行规则,yi'biao'fei'xing'gui'ze
仪表误差,yi'biao'wu'cha
仪表着陆系统,yi'biao'zhuo'lu'xi'tong
移不变系统,yi'bu'bian'xi'tong
异步传递方式,yi'bu'chuan'di'fang'shi
异步传输,yi'bu'chuan'shu
异步转移方式,yi'bu'zhuan'yi'fang'shi
异常辉光放电,yi'chang'hui'guang'fang'dian
异常透射法,yi'chang'tou'she'fa
逸出功,yi'chu'gong
逸出深度,yi'chu'shen'du
一次抽样,yi'ci'chou'yang
一次电池,yi'ci'dian'chi
一次雷达,yi'ci'lei'da
一次显示,yi'ci'xian'shi
一次性写入多次读出光盘,yi'ci'xing'xie'ru'duo'ci'du'chu'guang'pan
一次指令,yi'ci'zhi'ling
移动电话交换中心,yi'dong'dian'hua'jiao'huan'zhong'xin
移动溶液区熔法,yi'dong'rong'ye'qu'rong'fa
移动台,yi'dong'tai
移动通信,yi'dong'tong'xin
移动卫星通信,yi'dong'wei'xing'tong'xin
移动站,yi'dong'zhan
镱铒光纤放大器,yi'er'guang'xian'fang'da'qi
疑符,yi'fu
一阶系统,yi'jie'xi'tong
乙类放大器,yi'lei'fang'da'qi
一列式电子枪,yi'lie'shi'dian'zi'qiang
钇铝石榴石激光器,yi'lv'shi'liu'shi'ji'guang'qi
译码,yi'ma
译码器,yi'ma'qi
移位寄存器,yi'wei'ji'cun'qi
异相成核,yi'xiang'cheng'he
移相器,yi'xiang'qi
移相振荡器,yi'xiang'zhen'dang'qi
